ID,filter,nameEN,nameFR,linkEN,linkFR
14,false,Canadian Human Rights Tribunal,Tribunal canadien des droits de la personne,http://www.chrt-tcdp.gc.ca/NS/index-eng.asp,http://www.chrt-tcdp.gc.ca/NS/index-fra.asp
15,false,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada,http://www.cihr-irsc.gc.ca/e/193.html,http://www.cihr-irsc.gc.ca/f/193.html
16,false,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes,http://www.scics.gc.ca/english/view.asp?x=1,http://www.scics.gc.ca/francais/view.asp?x=1
17,false,Canadian International Trade Tribunal,Tribunal canadien du commerce extérieur,http://www.citt.gc.ca/,http://www.citt.gc.ca/fr
18,false,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord,http://www.cannor.gc.ca/eng/1351104567432/1351104589057,http://www.cannor.gc.ca/fra/1351104567432/1351104589057
19,false,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,http://nuclearsafety.gc.ca/eng/,http://nuclearsafety.gc.ca/fra/index.cfm
20,false,Polar Knowledge Canada,Savoir polaire Canada,https://www.canada.ca/en/polar-knowledge.html,https://www.canada.ca/fr/savoir-polaire.html
21,false,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes,http://www.crtc.gc.ca/eng/home-accueil.htm,http://www.crtc.gc.ca/fra/accueil-home.htm
22,false,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité,https://www.csis-scrs.gc.ca/index-en.php,https://www.csis-scrs.gc.ca/index-fr.php
23,false,Canadian Space Agency,Agence spatiale canadienne,http://www.asc-csa.gc.ca/eng/,http://www.asc-csa.gc.ca/fra/default.asp
24,false,Canadian Transportation Accident Investigation and Safety Board,Bureau canadien d’enquête sur les accidents de transport et de la sécurité des transports,http://www.tsb.gc.ca/eng/,http://www.tsb.gc.ca/fra/index.asp
25,false,Canadian Transportation Agency,Office des transports du Canada,https://www.otc-cta.gc.ca/eng,https://www.otc-cta.gc.ca/fra
26,false,Communications Security Establishment,Centre de la sécurité des télécommunications,https://www.cse-cst.gc.ca/en,https://www.cse-cst.gc.ca/fr
27,false,Copyright Board,Commission du droit d’auteur,http://www.cb-cda.gc.ca/home-accueil-e.html,http://www.cb-cda.gc.ca/home-accueil-f.html
28,false,Correctional Service of Canada,Service correctionnel du Canada,http://www.csc-scc.gc.ca/index-eng.shtml,http://www.csc-scc.gc.ca/index-fra.shtml
29,false,Department of Agriculture and Agri-Food,Ministère de l’Agriculture et de l’Agroalimentaire,http://www.agr.gc.ca/eng/home/?id=1395690825741,http://www.agr.gc.ca/fra/accueil/?id=1395690825741
30,false,Department of Canadian Heritage,Ministère du Patrimoine canadien,http://www.pch.gc.ca/eng/1266037002102/1265993639778,http://www.pch.gc.ca/fra/1266037002102/1265993639778
31,false,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l’Immigration,http://www.cic.gc.ca/english/,http://www.cic.gc.ca/francais/index.asp
32,false,Department of Employment and Social Development,Ministère de l’Emploi et du Développement social,http://www.esdc.gc.ca/eng/home.shtml,http://www.edsc.gc.ca/fra/accueil.shtml
